name,score
"FTR33__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",31
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_2__w_20",31
FTR47_std_x,31
FTR47_std_y,31
FTR32_max_x,31
FTR36_std_y,30
FTR10_kurt,30
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_6__w_20",30
FTR21_mean_y,30
FTR16_mean,30
FTR33_mean_x,30
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_11__w_10",30
FTR33__quantile__q_0.2,30
FTR21_sum,30
FTR14_kurt2_y,30
"FTR33__linear_trend__attr_""rvalue""",30
FTR44_max_y,30
FTR16_sum,30
FTR33__percentage_of_reoccurring_values_to_all_values,30
FTR32_mean_y,30
weekday_5,30
FTR48_min_x,29
day_max,29
FTR29_kurt2_y,29
FTR18_min_x,29
"FTR33__fft_coefficient__coeff_19__attr_""imag""",29
FTR29_skew,29
"FTR33__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",29
FTR33_kurt,29
FTR30_min_y,29
"FTR33__agg_linear_trend__f_agg_""mean""__chunk_len_50__attr_""slope""",29
FTR8_max_x,29
FTR29_mean_x,29
FTR47_max_y,29
"FTR33__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",29
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_6__w_5",29
FTR23_mean,29
"FTR33__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",28
"FTR33__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",28
"FTR33__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""slope""",28
FTR32_sum,28
FTR5_max_x,28
"FTR33__fft_coefficient__coeff_22__attr_""real""",28
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_7__w_5",28
FTR33_std_x,28
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_20",28
FTR47_mean_y,28
FTR42_min,28
"FTR33__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_3__w_5",28
FTR17_max,28
FTR36_skew_x,28
"FTR33__fft_coefficient__coeff_15__attr_""angle""",28
FTR51_len_max,28
FTR14_kurt2_x,27
"FTR33__fft_coefficient__coeff_25__attr_""angle""",27
"FTR33__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""stderr""",27
FTR14_std_y,27
week_max,27
FTR10_mean_y,27
